,aX,aY,aZ,gX,gY,gZ
116,-3.59,42.04,1.5,-25.28,50.38,-60.42
117,-3.59,42.04,1.5,-25.28,50.38,-60.42
118,-3.59,42.04,1.5,-25.28,50.38,-60.42
119,-11.53,54.71,1.5,-25.28,50.38,-60.42
120,-11.53,54.71,46.34,-11.64,50.38,-60.42
121,-11.53,54.71,46.34,-11.64,58.61,13.06
122,-11.53,54.71,46.34,-11.64,58.61,13.06
123,-15.67,54.71,46.34,-11.64,58.61,13.06
124,-15.67,9.71,78.69,-11.64,58.61,13.06
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,-44.87,0,0,0,0,0
128,-44.87,-24.77,10.6,-0.4,0,0
129,-44.87,-24.77,10.6,-0.4,-5.43,14.15
130,-44.87,-24.77,10.6,-0.4,-5.43,14.15
131,-42.52,-24.77,10.6,-0.4,-5.43,14.15
132,-42.52,-44.75,11.47,-0.4,-5.43,14.15
133,-42.52,-44.75,11.47,7.88,-6.07,7.28
134,-42.52,-44.75,11.47,7.88,-6.07,7.28
135,-42.52,-44.75,11.47,7.88,-6.07,7.28
136,-32.16,-68.26,11.47,7.88,-6.07,7.28
137,-32.16,-68.26,-9.44,5.38,3.75,-52.1
138,-32.16,-68.26,-9.44,5.38,3.75,-52.1
139,-32.16,-68.26,-9.44,5.38,3.75,-52.1
140,-12.73,-68.26,-9.44,5.38,3.75,-52.1
141,-12.73,-15.49,-11.54,13.02,33.17,-52.1
142,-12.73,-15.49,-11.54,13.02,33.17,-72.53
143,-12.73,-15.49,-11.54,13.02,33.17,-72.53
144,-6.64,-15.49,-11.54,13.02,33.17,-72.53
145,-6.64,26.61,10.46,15.68,33.17,-72.53
146,-6.64,26.61,10.46,15.68,60.64,-38.02
147,-6.64,26.61,10.46,15.68,60.64,-38.02
148,-18.31,26.61,10.46,15.68,60.64,-38.02
149,-18.31,44.1,10.46,15.68,60.64,-38.02
150,0,0,0,0,0,0
151,0,0,0,0,0,0
152,-30.22,0,0,0,0,0
153,-30.22,-33.55,-24.15,-11.52,0,0
154,-30.22,-33.55,-24.15,-11.52,23.65,-55
155,-30.22,-33.55,-24.15,-11.52,23.65,-55
156,-22.02,-33.55,-24.15,-11.52,23.65,-55
157,-22.02,-2.16,-10.74,-11.52,23.65,-55
158,-22.02,-2.16,-10.74,6.32,48.58,-42.34
159,-22.02,-2.16,-10.74,6.32,48.58,-42.34
160,-14.31,-2.16,-10.74,6.32,48.58,-42.34
161,-14.31,13.68,5.15,-4.82,48.58,-42.34
162,-14.31,13.68,5.15,-4.82,58.8,-29.95
163,-14.31,13.68,5.15,-4.82,58.8,-29.95
164,-14.31,13.68,5.15,-4.82,58.8,-29.95
165,-13.37,55.7,5.15,-4.82,58.8,-29.95
166,-13.37,55.7,72.67,-5.15,57.07,6.26
167,-13.37,55.7,72.67,-5.15,57.07,6.26
168,-13.37,55.7,72.67,-5.15,57.07,6.26
169,-20.15,55.7,72.67,-5.15,57.07,6.26
170,-20.15,9.59,81.13,6.96,-13.3,68.4
171,-20.15,9.59,81.13,6.96,-13.3,68.4
172,-20.15,9.59,81.13,6.96,-13.3,68.4
173,-12.96,-52.04,81.13,6.96,-13.3,68.4
174,-12.96,-52.04,42.84,-3.87,-40.47,68.4
175,0,0,0,0,0,0
176,0,0,0,0,0,0
177,0,0,0,0,0,0
178,-41.56,-32.2,1.27,0.97,0,0
179,-41.56,-32.2,1.27,0.97,-4.52,10.82
180,-41.56,-32.2,1.27,0.97,-4.52,10.82
